ScreenName,Time,Date,TimeZone,Tweet,InReplyToUserID,FavoriteCount,RetweetCount,SentimentAverage
@BernieSanders,21:02:05,06/08/16,UTC,"We will not allow right-wing Republicans to control our government. That is especially true with Donald Trump as the Republican candidate.",None,7152,2230,0.35
@BernieSanders,19:56:01,06/08/16,UTC,"Young people understand that they are the future of America, and they intend to help shape that future.",None,10650,4987,0.0333333333333
@BernieSanders,18:41:06,06/08/16,UTC,"We have won 22 state elections with over 11 million votes and in virtually every state, we've won in big numbers the votes of young people.",216776631,9428,2842,0.05
@BernieSanders,17:57:33,06/08/16,UTC,"When we began this campaign we were considered to be a fringe campaign. Over the last year, I think that has changed just a little bit.",None,11845,3005,-0.046875
@BernieSanders,14:57:17,06/08/16,UTC,"We must always remember that change almost never happens from the top down, it happens from the bottom up.",None,13502,7061,0.172222222222
@BernieSanders,06:09:45,06/08/16,UTC,"We are in this TOGETHER. Thank you New Mexico, California, South Dakota, North Dakota, New Jersey and Montana! #NotMeUs",None,16249,4918,0.0511363636364
@BernieSanders,06:07:49,06/08/16,UTC,"Montana – Thank you all. The struggle continues! https://t.co/NM2H80ZEGG",None,8851,2420,0.0
@BernieSanders,05:44:28,06/08/16,UTC,"RT @MSNBC: WATCH LIVE: Bernie Sanders addresses California supporters on primary night https://t.co/Boajkfc2D7 #Decision2016",None,0,500,0.268181818182
@BernieSanders,03:00:54,06/08/16,UTC,"Thank you to the thousands of supporters who came out to vote for the political revolution in New Jersey today!",None,13053,2261,0.0852272727273
@BernieSanders,02:35:55,06/08/16,UTC,"Thank you North Dakota! https://t.co/1FMVeH7GMh",None,10888,3385,0.0
@BernieSanders,23:07:12,06/07/16,UTC,"You still have time to run to your voting location before polls close. Get out and vote! #PrimaryDay https://t.co/e4k48x9Qth",None,38898,21125,0.0
@BernieSanders,22:51:34,06/07/16,UTC,"We need your help to win in CA, ND, SD, MT, NJ and NM today! Make calls to voters now: https://t.co/aTpBHlAr7O",None,3382,1435,0.5
@BernieSanders,22:31:08,06/07/16,UTC,"North Dakota: today we caucus. Get to your caucus by 7 pm. If there's a large voter turnout, we will win. Join history in the making.",None,3669,1164,0.126785714286
@BernieSanders,21:48:34,06/07/16,UTC,"Mis profundas condolencias a la familia Chávez ante el fallecimiento de Helen Chávez, gran líder y defensora de los trabajadores del campo.",216776631,1943,631,0.0
@BernieSanders,21:33:20,06/07/16,UTC,"My profound condolences to the Chávez family on the passing of Helen Chávez, great leader and activist for farmworker's rights. #SiSePuede",None,4716,1721,0.220833333333
@BernieSanders,20:26:02,06/07/16,UTC,"Defy the pundits again and reach for a high voter turnout that'll shock the establishment. Grab your friends and go vote. #PrimaryDay",None,5027,2708,0.0533333333333
@BernieSanders,19:29:04,06/07/16,UTC,"I'm asking you to support strong progressive allies like @EricKingsonNY and @Clem4Congress. Help elect them: https://t.co/hNvGMCUEfe",None,1860,820,0.616666666667
@BernieSanders,18:49:07,06/07/16,UTC,"California: Hoy el establecimiento no podrá ignorar tu voz. Vota por nuestro movimiento. ¿Preguntas? Llámanos. https://t.co/Nz9Og9PRwE",None,1635,914,0.0
@BernieSanders,18:29:08,06/07/16,UTC,"California: send the establishment a message they can’t ignore. Vote for our movement. Questions? Call our hotline. https://t.co/vR3GTV2yUV",None,4618,3149,0.0
@BernieSanders,16:40:22,06/07/16,UTC,"California, Montana, New Jersey, New Mexico, South Dakota and North Dakota – your turn to vote for the revolution! https://t.co/cyqk7tRNxR",None,8900,5925,0.0
@BernieSanders,15:32:03,06/07/16,UTC,"Pundits and the political press wanna call this race early before every person votes. Let's show them we ain't gonna let it happen. Go vote.",None,9161,6153,0.0
@BernieSanders,14:56:07,06/07/16,UTC,"California – today you can send a message that this country belongs to all of us, not just a handful of billionaires. Go vote. #PrimaryDay",None,14722,10708,0.0
@BernieSanders,14:18:38,06/07/16,UTC,"Montana: your polls are open. Don't settle for a rigged economy held in place by a corrupt campaign finance system. Vote Bernie! #PrimaryDay",None,4785,2334,0.0
